,titles,descriptions,authors,urls
10,Double descent in the condition number.,"In solving a system of $n$ linear equations in $d$ variables $Ax=b$, thecondition number of the $n,d$ matrix $A$ measures how much errors in the data$b$ affect the solution $x$. Bounds of this type are important in many inverseproblems. An example is machine learning where the key task is to estimate anunderlying function from a set of measurements at random points in a highdimensional space and where low sensitivity to error in the data is arequirement for good predictive performance. Here we discuss the simpleobservation, which is well-known but surprisingly little quoted that when thecolumns of $A$ are random vectors, the condition number of $A$ is highest if$d=n$, that is when the inverse of $A$ exists. An overdetermined system ($n&gt;d$)as well as an underdetermined system ($n&lt;d$), for which the pseudoinverse mustbe used instead of the inverse, typically have significantly better, that islower, condition numbers. Thus the condition number of $A$ plotted as functionof $d$ shows a double descent behavior with a peak at $d=n$."," Tomaso Poggio, Gil Kur, Andrzej Banburski",http://arxiv.org/abs/1912.06190
11,idris-ct: A Library to do Category Theory in Idris.,"We introduce idris-ct, a Idris library providing verified type definitions ofcategorical concepts. idris-ct strives to be a bridge between academy andindustry, catering both to category theorists who want to implement and trytheir ideas in a practical environment and to businesses and engineers who careabout formalization with category theory: It is inspired by similar librariesdeveloped for theorem proving but remains very practical, being aimed atsoftware production in business. Nevertheless, the use of dependent typesallows for a formally correct implementation of categorical concepts, so thatguarantees can be made on software properties."," Fabrizio Genovese, Alex Gryzlov, Jelle Herold, Andre Knispel, Marco Perone, Erik Post, Andr&#xe9; Videla",http://arxiv.org/abs/1912.06191
12,A new method for similarity and anomaly detection in cryptocurrency markets.,"We propose a new approach using the MJ$_1$ semi-metric, from the more generalMJ$_p$ class of semi-metrics \cite{James2019}, to detect similarity andanomalies in collections of cryptocurrencies. Since change points are signalsof potential risk, we apply this metric to measure distance between changepoint sets, with respect to returns and variance. Such change point sets can beidentified using algorithms such as the Mann-Whitney test, while the distancematrix is analysed using three approaches to detect similarity and identifyclusters of similar cryptocurrencies. This aims to avoid constructingportfolios with highly similar behaviours, reducing total portfolio risk."," Nick James, Max Menzies, Jennifer Chan",http://arxiv.org/abs/1912.06193
13,Data Exploration and Validation on dense knowledge graphs for biomedical research.,"Here we present a holistic approach for data exploration on dense knowledgegraphs as a novel approach with a proof-of-concept in biomedical research.Knowledge graphs are increasingly becoming a vital factor in knowledge miningand discovery as they connect data using technologies from the semantic web. Inthis paper we extend a basic knowledge graph extracted from biomedicalliterature by context data like named entities and relations obtained by textmining and other linked data sources like ontologies and databases. We willpresent an overview about this novel network. The aim of this work was toextend this current knowledge with approaches from graph theory. This methodwill build the foundation for quality control, validation of hypothesis,detection of missing data and time series analysis of biomedical knowledge ingeneral. In this context we tried to apply multiple-valued decision diagrams tothese questions. In addition this knowledge representation of linked data canbe used as FAIR approach to answer semantic questions. This paper sheds newlights on dense and very large knowledge graphs and the importance of agraph-theoretic understanding of these networks."," Jens D&#xf6;rpinghaus, Alexander Apke, Vanessa Lage-Rupprecht, Andreas Stefan",http://arxiv.org/abs/1912.06194
14,A mixture theory-based finite element formulation for the study of biodegradation of poroelastic scaffolds.,"We derive a mixture theory-based mathematical model of the degradation of aporoelastic solid immersed in a fluid bath. The evolution of the solid&apos;smechanical and transport properties are also modeled. The inspiration for themodel is the study of the temporal evolution of biodegradable Tissue EngineeredNerve Guides (TENGs), which are surgical implants supporting the alignment andre-growth of damaged nerves. The model comprises of the degrading solid, thedegradation reaction products, and the fluid in which the solid is immersed.The weak formulation of the partial differential equations (PDEs) so derived isnumerically implemented using a Finite Element Method (FEM). The numericalmodel is studied for stability and convergence rates using the Method ofManufactured Solutions."," Priyanka Patki, Francesco Costanzo",http://arxiv.org/abs/1912.06195
15,CRNs Exposed: Systematic Exploration of Chemical Reaction Networks.,"Formal methods have enabled breakthroughs in many fields, such as in hardwareverification, machine learning and biological systems. Our focus is on systemsand synthetic biology, where a key object of interest is coupled chemicalreactions in a well-mixed solution formalized as chemical reaction networks(CRNs). CRNs are pivotal for our understanding of biological regulatory andmetabolic networks, as well as for programming engineered molecular behavior.Although it is clear that small CRNs are capable of complex dynamics andcomputational behavior, it remains difficult to explore the space of CRNs insearch for desired functionality. We use Alloy, a tool for expressingstructural constraints and behavior in software systems, to enumerate CRNs withdeclaratively specified properties. We show how this framework can enumerateCRNs with a variety of structural constraints including biologically motivatedcatalytic networks and metabolic networks, and see-saw networks motivated byDNA nanotechnology. We also use the framework to explore analog functioncomputation in rate-independent CRNs. By computing the desired output valuewith stoichiometry rather than with reaction rates (in the sense that $X \toY+Y$ computes multiplication by $2$), such CRNs are completely robust to thechoice of reaction rates or rate law. We find the smallest CRNs computing themax, abs, and ReLU (rectified linear unit) functions in a natural subclass ofrate-independent CRNs where rate-independence follows from structural networkproperties."," Marko Vasic, David Soloveichik, Sarfraz Khurshid",http://arxiv.org/abs/1912.06197
16,A Constant-Factor Approximation for Directed Latency in Quasi-Polynomial Time.,"We give the first constant-factor approximation for the Directed Latencyproblem in quasi-polynomial time. Here, the goal is to visit all nodes in anasymmetric metric with a single vehicle starting at a depot $r$ to minimize theaverage time a node waits to be visited by the vehicle. The approximationguarantee is an improvement over the polynomial-time $O(\log n)$-approximation[Friggstad, Salavatipour, Svitkina, 2013] and no better quasi-polynomial timeapproximation algorithm was known.</p><p>To obtain this, we must extend a recent result showing the integrality gap ofthe Asymmetric TSP-Path LP relaxation is bounded by a constant [K\""{o}hne,Traub, and Vygen, 2019], which itself builds on the breakthrough result thatthe integrality gap for standard Asymmetric TSP is also a constant [Svensson,Tarnawsi, and Vegh, 2018]. We show the standard Asymmetric TSP-Path integralitygap is bounded by a constant even if the cut requirements of the LP relaxationare relaxed from $x(\delta^{in}(S)) \geq 1$ to $x(\delta^{in}(S)) \geq \rho$for some constant $1/2 &lt; \rho \leq 1$. We also give a better approximationguarantee in the special case of Directed Latency in regret metrics where thegoal is to find a path $P$ minimize the average time a node $v$ waits in excessof $c_{rv}$, i.e. $\frac{1}{|V|} \cdot \sum_{v \in V} (c_v(P)-c_{rv})$."," Zachary Friggstad, Chaitanya Swamy",http://arxiv.org/abs/1912.06198
17,Greenery Segmentation In Urban Images By Deep Learning.,Vegetation is a relevant feature in the urban scenery and its awareness canbe measured in an image by the Green View Index (GVI). Previous approaches toestimate the GVI were based upon heuristics image processing approaches andrecently by deep learning networks (DLN). By leveraging some recent DLNarchitectures tuned to the image segmentation problem and exploiting aweighting strategy in the loss function (LF) we improved previously reportedresults in similar datasets.," Artur A. M. Oliveira, Nina S. T. Hirata, Roberto Hirata Jr",http://arxiv.org/abs/1912.06199
18,On Metrics to Assess the Transferability of Machine Learning Models in Non-Intrusive Load Monitoring.,"To assess the performance of load disaggregation algorithms it is commonpractise to train a candidate algorithm on data from one or multiple householdsand subsequently apply cross-validation by evaluating the classification andenergy estimation performance on unseen portions of the dataset derived fromthe same households. With an emerging discussion of transferability inNon-Intrusive Load Monitoring (NILM), there is a need for domain-specificmetrics to assess the performance of NILM algorithms on new test scenariosbeing unseen buildings. In this paper, we discuss several metrics to assess thegeneralisation ability of NILM algorithms. These metrics target differentaspects of performance evaluation in NILM and are meant to complement thetraditional performance evaluation approach. We demonstrate how our metrics canbe utilised to evaluate NILM algorithms by means of two case studies. Weconduct our studies on several energy consumption datasets and take intoconsideration five state-of-the-art as well as four baseline NILM solutions.Finally, we formulate research challenges for future work."," Christoph Klemenjak, Anthony Faustine, Stephen Makonin, Wilfried Elmenreich",http://arxiv.org/abs/1912.06200
19,"Optimal, Truthful, and Private Securities Lending.","We consider a fundamental dynamic allocation problem motivated by the problemof $\textit{securities lending}$ in financial markets, the mechanism underlyingthe short selling of stocks. A lender would like to distribute a finite numberof identical copies of some scarce resource to $n$ clients, each of whom has aprivate demand that is unknown to the lender. The lender would like to maximizethe usage of the resource $\mbox{---}$ avoiding allocating more to a clientthan her true demand $\mbox{---}$ but is constrained to sell the resource at apre-specified price per unit, and thus cannot use prices to incentivizetruthful reporting. We first show that the Bayesian optimal algorithm for theone-shot problem $\mbox{---}$ which maximizes the resource&apos;s expected usageaccording to the posterior expectation of demand, given reports $\mbox{---}$actually incentivizes truthful reporting as a dominant strategy. Because truedemands in the securities lending problem are often sensitive information thatthe client would like to hide from competitors, we then consider the problemunder the additional desideratum of (joint) differential privacy. We give analgorithm, based on simple dynamics for computing market equilibria, that issimultaneously private, approximately optimal, and approximatelydominant-strategy truthful. Finally, we leverage this private algorithm toconstruct an approximately truthful, optimal mechanism for the extensive formmulti-round auction where the lender does not have access to the true jointdistributions between clients&apos; requests and demands."," Emily Diana, Michael Kearns, Seth Neel, Aaron Roth",http://arxiv.org/abs/1912.06202
20,ManiGAN: Text-Guided Image Manipulation.,"The goal of our paper is to semantically edit parts of an image to match agiven text that describes desired attributes (e.g., texture, colour, andbackground), while preserving other contents that are irrelevant to the text.To achieve this, we propose a novel generative adversarial network (ManiGAN),which contains two key components: text-image affine combination module (ACM)and detail correction module (DCM). The ACM selects image regions relevant tothe given text and then correlates the regions with corresponding semanticwords for effective manipulation. Meanwhile, it encodes original image featuresto help reconstruct text-irrelevant contents. The DCM rectifies mismatchedattributes and completes missing contents of the synthetic image. Finally, wesuggest a new metric for evaluating image manipulation results, in terms ofboth the generation of new attributes and the reconstruction of text-irrelevantcontents. Extensive experiments on the CUB and COCO datasets demonstrate thesuperior performance of the proposed method."," Bowen Li, Xiaojuan Qi, Thomas Lukasiewicz, Philip H. S. Torr",http://arxiv.org/abs/1912.06203
21,From deep learning to mechanistic understanding in neuroscience: the structure of retinal prediction.,"Recently, deep feedforward neural networks have achieved considerable successin modeling biological sensory processing, in terms of reproducing theinput-output map of sensory neurons. However, such models raise profoundquestions about the very nature of explanation in neuroscience. Are we simplyreplacing one complex system (a biological circuit) with another (a deepnetwork), without understanding either? Moreover, beyond neuralrepresentations, are the deep network&apos;s computational mechanisms for generatingneural responses the same as those in the brain? Without a systematic approachto extracting and understanding computational mechanisms from deep neuralnetwork models, it can be difficult both to assess the degree of utility ofdeep learning approaches in neuroscience, and to extract experimentallytestable hypotheses from deep networks. We develop such a systematic approachby combining dimensionality reduction and modern attribution methods fordetermining the relative importance of interneurons for specific visualcomputations. We apply this approach to deep network models of the retina,revealing a conceptual understanding of how the retina acts as a predictivefeature extractor that signals deviations from expectations for diversespatiotemporal stimuli. For each stimulus, our extracted computationalmechanisms are consistent with prior scientific literature, and in one caseyields a new mechanistic hypothesis. Thus overall, this work not only yieldsinsights into the computational mechanisms underlying the striking predictivecapabilities of the retina, but also places the framework of deep networks asneuroscientific models on firmer theoretical foundations, by providing a newroadmap to go beyond comparing neural representations to extracting andunderstand computational mechanisms."," Hidenori Tanaka, Aran Nayebi, Niru Maheswaranathan, Lane McIntosh, Stephen A. Baccus, Surya Ganguli",http://arxiv.org/abs/1912.06207
22,Shaping representations through communication: community size effect in artificial learning systems.,"Motivated by theories of language and communication that explain whycommunities with large numbers of speakers have, on average, simpler languageswith more regularity, we cast the representation learning problem in terms oflearning to communicate. Our starting point sees the traditional autoencodersetup as a single encoder with a fixed decoder partner that must learn tocommunicate. Generalizing from there, we introduce community-based autoencodersin which multiple encoders and decoders collectively learn representations bybeing randomly paired up on successive training iterations. We find thatincreasing community sizes reduce idiosyncrasies in the learned codes,resulting in representations that better encode concept categories andcorrelate with human feature norms."," Olivier Tieleman, Angeliki Lazaridou, Shibl Mourad, Charles Blundell, Doina Precup",http://arxiv.org/abs/1912.06208
23,Context-aware Entity Linking with Attentive Neural Networks on Wikidata Knowledge Graph.,"The Entity Linking (EL) approaches have been a long-standing research fieldand find applicability in various use cases such as semantic search, textannotation, question answering, etc. Although effective and robust, currentapproaches are still limited to particular knowledge repositories (e.g.Wikipedia) or specific knowledge graphs (e.g. Freebase, DBpedia, and YAGO). Thecollaborative knowledge graphs such as Wikidata excessively rely on the crowdto author the information. Since the crowd is not bound to a standard protocolfor assigning entity titles, the knowledge graph is populated by non-standard,noisy, long or even sometimes awkward titles. The issue of long, implicit, andnonstandard entity representations is a challenge in EL approaches for gaininghigh precision and recall. In this paper, we advance the state-of-the-artapproaches by developing a context-aware attentive neural network approach forentity linking on Wikidata. Our approach contributes by exploiting thesufficient context from a Knowledge Graph as a source of background knowledge,which is then fed into the neural network. This approach demonstrates merit toaddress challenges associated with entity titles (multi-word, long, implicit,case-sensitive). Our experimental study shows $\approx$8\% improvements overthe baseline approach, and significantly outperform an end to end approach forWikidata entity linking. This work, first of its kind, opens a new directionfor the research community to pay attention to developing context-aware ELapproaches for collaborative knowledge graphs."," Isaiah Onando Mulang, Kuldeep Singh, Akhilesh Vyas, Saeedeh Shekarpour, Ahmad Sakor, Maria Esther Vidal, Soren Auer, Jens Lehmann",http://arxiv.org/abs/1912.06214
24,Mixed-Precision analysis of Householder QR Algorithms.,"Although mixed precision arithmetic has recently garnered interest fortraining dense neural networks, many other applications could benefit from thespeed-ups and lower storage if applied appropriately. The growing interest inemploying mixed precision computations motivates the need for rounding erroranalysis that properly handles behavior from mixed precision arithmetic. Wepresent a framework for mixed precision analysis that builds on the foundationsof rounding error analysis presented in [Higham, Nicholas, ""Accuracy andStability of Numerical Algorithms"", SIAM] and demonstrate its practicality byapplying the analysis to various Householder QR Algorithms. In addition, wepresent successful results from using mixed precision QR factorization for somesmall-scale benchmark problems in graph clustering."," L. Minah Yang, Alyson Fox, Geoffrey Sanders",http://arxiv.org/abs/1912.06217
25,YOLACT++: Better Real-time Instance Segmentation.,"We present a simple, fully-convolutional model for real-time (&gt;30 fps)instance segmentation that achieves competitive results on MS COCO evaluated ona single Titan Xp, which is significantly faster than any previousstate-of-the-art approach. Moreover, we obtain this result after training ononly one GPU. We accomplish this by breaking instance segmentation into twoparallel subtasks: (1) generating a set of prototype masks and (2) predictingper-instance mask coefficients. Then we produce instance masks by linearlycombining the prototypes with the mask coefficients. We find that because thisprocess doesn&apos;t depend on repooling, this approach produces very high-qualitymasks and exhibits temporal stability for free. Furthermore, we analyze theemergent behavior of our prototypes and show they learn to localize instanceson their own in a translation variant manner, despite beingfully-convolutional. We also propose Fast NMS, a drop-in 12 ms fasterreplacement for standard NMS that only has a marginal performance penalty.Finally, by incorporating deformable convolutions into the backbone network,optimizing the prediction head with better anchor scales and aspect ratios, andadding a novel fast mask re-scoring branch, our YOLACT++ model can achieve 34.1mAP on MS COCO at 33.5 fps, which is fairly close to the state-of-the-artapproaches while still running at real-time."," Daniel Bolya, Chong Zhou, Fanyi Xiao, Yong Jae Lee",http://arxiv.org/abs/1912.06218
26,Theme-Matters: Fashion Compatibility Learning via Theme Attention.,"Fashion compatibility learning is important to many fashion markets such asoutfit composition and online fashion recommendation. Unlike previous work, weargue that fashion compatibility is not only a visual appearance compatibleproblem but also a theme-matters problem. An outfit, which consists of a set offashion items (e.g., shirt, suit, shoes, etc.), is considered to be compatiblefor a ""dating"" event, yet maybe not for a ""business"" occasion. In this paper,we aim at solving the fashion compatibility problem given specific themes. Tothis end, we built the first real-world theme-aware fashion dataset comprising14K around outfits labeled with 32 themes. In this dataset, there are more than40K fashion items labeled with 152 fine-grained categories. We also propose anattention model learning fashion compatibility given a specific theme. Itstarts with a category-specific subspace learning, which projects compatibleoutfit items in certain categories to be close in the subspace. Thanks tostrong connections between fashion themes and categories, we then build atheme-attention model over the category-specific embedding space. This modelassociates themes with the pairwise compatibility with attention, and thuscompute the outfit-wise compatibility. To the best of our knowledge, this isthe first attempt to estimate outfit compatibility conditional on a theme. Weconduct extensive qualitative and quantitative experiments on our new dataset.Our method outperforms the state-of-the-art approaches."," Jui-Hsin Lai, Bo Wu, Jingen Liu, Xin Wang, Dan Zeng, Tao Mei",http://arxiv.org/abs/1912.06227
27,Optimal Two-Sided Market Mechanism Design for Large-Scale Data Sharing and Trading in Massive IoT Networks.,"The development of the Internet of Things (IoT) generates a significantamount of data that contains valuable knowledge for system operations andbusiness opportunities. Since the data is the property of the IoT data owners,the access of the data requires the permission from the data owners, whichgives rises to a potential market opportunity for the IoT data sharing andtrading to create economic values and market opportunities for both data ownersand consumers. In this work, we leverage optimal mechanism design theory todevelop a monopolist matching platform for data trading over massive IoTnetworks. The proposed mechanism is composed of a pair of matching and paymentrules for each side of the market to optimize the payoffs underwelfare-maximization and the profit maximization schemes. We characterize theoptimal mechanism with a class of threshold matching rules under welfare andprofit-maximization and study three matching behaviors including separating,bottom pooling, and top pooling. We use HealthyGo as a case study to illustratethe optimal threshold matching rules and corroborate the analytical results."," Tao Zhang, Quanyan Zhu",http://arxiv.org/abs/1912.06229
28,The role of Web of Science publications in China&apos;s tenure system.,"Tenure provides a permanent position to faculty in higher educationinstitutions. In North America, it is granted to those who have established arecord of excellence in research, teaching and services in a limited period.However, in China, research excellence represented by the number of Web ofScience publications is highly weighted in the tenure assessment compared toexcellence in teaching and services, but this has never been systematicallyinvestigated. By analyzing the tenure assessment documents from Chineseuniversities, this study reveals the role of Web of Science publications inChina tenure system and presents the landscape of the tenure assessment processin Chinese higher education institutions."," Fei Shu, Wei Quan, Bikun Chen, Junping Qiu, Cassidy Sugimoto, Vincent Larivi&#xe8;re",http://arxiv.org/abs/1912.06231
29,Prior Knowledge Neural Network for Automatic Feature Construction in Financial Time Series.,"In quantitative finance, useful features are constructed by human experts.However, this method is of low efficient. Thus, automatic feature constructionalgorithms have received more and more attention. The SOTA technic in thisfield is to use reverse polish expression to represent the features, and thenuse genetic programming to reconstruct it. In this paper, we propose a newmethod, alpha discovery neural network, which can automatically constructfeatures by using neural network. In this work, we made several contributions.Firstly, we put forward new object function by using empirical knowledge infinancial signal processing, and we also fixed its undifferentiated problem.Secondly, we use model stealing technic to learn from other prior knowledge,which can bring enough diversity into our network. Thirdly, we come up with amethod to measure the diversity of different financial features. Experimentshows that ADN can produce more diversified and higher informative featuresthan GP. Besides, if we use GP&apos;s output to serve as prior knowledge, its finalachievements will be significantly improved by using ADN."," Jie Fang, Jianwu Lin, Yong Jiang, Shutao Xia",http://arxiv.org/abs/1912.06236
30,Fast non-convex low-rank matrix decomposition for separation of potential field data using minimal memory.,"A fast non-convex low-rank matrix decomposition method for potential fielddata separation is proposed. The singular value decomposition of the large sizetrajectory matrix, which is also a block Hankel matrix, is obtained using afast randomized singular value decomposition algorithm in which fast blockHankel matrix-vector multiplications are implemented with minimal memorystorage. This fast block Hankel matrix randomized singular value decompositionalgorithm is integrated into the \texttt{Altproj} algorithm, which is astandard non-convex method for solving the robust principal component analysisoptimization problem. The improved algorithm avoids the construction of thetrajectory matrix. Hence, gravity and magnetic data matrices of large size canbe computed. Moreover, it is more efficient than the traditional low-rankmatrix decomposition method, which is based on the use of an inexact augmentedLagrange multiplier algorithm. The presented algorithm is also robust and,hence, algorithm-dependent parameters are easily determined. The improved andtraditional algorithms are contrasted for the separation of synthetic gravityand magnetic data matrices of different sizes. The presented resultsdemonstrate that the improved algorithm is not only computationally moreefficient but it is also more accurate. Moreover, it is possible to solve farlarger problems. As an example, for the adopted computational environment,matrices of sizes larger than $205 \times 205$ generate ""out of memory""exceptions with the traditional method, but a matrix of size $2001\times 2001$can be calculated in $2249.69$s with the new algorithm. Finally, the improvedmethod is applied to separate real gravity and magnetic data in the Tonglingarea, Anhui province, China. Areas which may exhibit mineralizations areinferred based on the separated anomalies."," Dan Zhu, Rosemary Renaut, Hongwei Li, Tianyou Liu",http://arxiv.org/abs/1912.06240
